,safegraph_place_id,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags
171614,sg:acd60c1b99934fec85a375e73960b5ac,,Alley Club,,,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,721110.0,35.384843,-97.49904599999999,605 SE 82nd St,Oklahoma City,OK,73149,US,14056320070.0,,
172010,sg:cce436dbdc3741c1aad96b933f752f50,,Color Creations Car Audio,,,Electronics and Appliance Stores,Electronics Stores,443142.0,35.404016999999996,-97.495589,6101 S I 35 Service Rd,Oklahoma City,OK,73149,US,14054732783.0,,
172833,sg:0eb1b02bba8c4828b1cbfd04e604059d,sg:fec0b821d4be4d60a3f2ae4118ec0a0c,Chelinos Mexican,,,,,,35.581369,-97.566582,10904 N May Ave,Oklahoma City,OK,73120,US,14052863112.0,"{ ""Mon"": [[""11:00"", ""21:00""]], ""Tue"": [[""11:00"", ""21:00""]], ""Wed"": [[""11:00"", ""21:00""]], ""Thu"": [[""11:00"", ""21:00""]], ""Fri"": [[""11:00"", ""21:30""]], ""Sat"": [[""11:00"", ""21:30""]], ""Sun"": [[""11:00"", ""21:00""]] }",
172961,sg:1703b356e53d4644a74d3ce30e1ab5eb,,American Broadcasting School,,,"Colleges, Universities, and Professional Schools","Colleges, Universities, and Professional Schools",611310.0,35.43568,-97.436634,American Broadcasting School,Oklahoma City,OK,73115,US,,,
173029,sg:1bdba4c4feb94ce08c0cdc9cb19ed86a,,BlueLine Rental,SG_BRAND_08ca2147b6230db00c5e96ff8a50de2b,BlueLine Rental,Commercial and Industrial Machinery and Equipment Rental and Leasing,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,532490.0,35.433827,-97.487124,3101 South I-35 Svc Road,Oklahoma City,OK,73129,US,,,
173532,sg:3fcef856b42243ca9cad73e13fdf78e0,,Pamela Scarberry C21 Realtor GRI SRES,,,Offices of Real Estate Agents and Brokers,Offices of Real Estate Agents and Brokers,531210.0,35.521663000000004,-97.550554,2200 NW 50th St Ste 235E,Oklahoma City,OK,73112,US,14052500630.0,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",
174218,sg:7413a780848448fc9b8e11f4efc6b869,,Woody Candy Co,,,Specialty Food Stores,Confectionery and Nut Stores,445292.0,35.542952,-97.528102,922 NW 70th St,Oklahoma City,OK,73116,US,,"{ ""Mon"": [[""10:00"", ""17:00""]], ""Tue"": [[""10:00"", ""17:00""]], ""Wed"": [[""10:00"", ""17:00""]], ""Thu"": [[""10:00"", ""17:00""]], ""Fri"": [[""10:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",
174312,sg:79f25687d6cb4204853751ca81330a42,,Jones Gary,,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210.0,35.526282,-97.559383,2601 NW Expressway Ste 700E,Oklahoma City,OK,73112,US,14058424420.0,,
174806,sg:9eb8b1674cc744bf8b4c3136af99b323,,Culinary Kitchen,,,Drycleaning and Laundry Services,Drycleaning and Laundry Services (except Coin-Operated),812320.0,35.545232,-97.52914399999999,7222 N Western Ave,Oklahoma City,OK,73116,US,14054184884.0,"{ ""Mon"": [[""10:00"", ""17:00""]], ""Tue"": [[""10:00"", ""17:00""]], ""Wed"": [[""10:00"", ""17:00""]], ""Thu"": [[""10:00"", ""17:00""]], ""Fri"": [[""10:00"", ""17:00""]], ""Sat"": [[""10:00"", ""17:00""]], ""Sun"": [] }",
174987,sg:ac783aced8b74dccb5238de382405cd7,,Nolen's Accounting & Tax Service,,,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Tax Preparation Services,541213.0,35.46368,-97.432103,4700 E Reno Ave,Oklahoma City,OK,73117,US,14056776026.0,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",
175021,sg:aef2ec0805754942a7d79a7d6ce99b24,,Gulf Oil,SG_BRAND_8ee85aecc2a6b56be4a4e056c81d0b56,Gulf Oil,Gasoline Stations,Gasoline Stations with Convenience Stores,447110.0,35.482014,-97.529763,1321 N Classen Blvd,Oklahoma City,OK,73106,US,,,
177127,sg:495bcf63810c4a7e83fa41a65dc08717,,DriveTime,SG_BRAND_546c171aef26367c,DriveTime,Automobile Dealers,Used Car Dealers,441120.0,35.392193,-97.527281,741 W I 240 Service Rd,Oklahoma City,OK,73139,US,14056444400.0,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [] }",
177277,sg:54819871c2d1461da8f9b15656230641,sg:f857b95035d64958b8704aacaa1d860b,Flint,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,35.466828,-97.5167,15 N Robinson Ave,Oklahoma City,OK,73102,US,14056050657.0,,"Brunch,American Food"
177400,sg:5dc38829b7fd41b38104ccbf93347669,,Deanna Unsell Facial Art Institute,,,Personal Care Services,Other Personal Care Services,812199.0,35.367838,-97.53070699999999,10001 S Western Ave Ste 101,Oklahoma City,OK,73139,US,14056923788.0,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""12:00""]], ""Sat"": [], ""Sun"": [] }",
177550,sg:66f80c648097407c91b57d5273e85c29,,Family Dollar Stores,SG_BRAND_6db086b96ff72a99a60c4a182d90fe10,Family Dollar Stores,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319.0,35.433283,-97.582299,3618 Newcastle Rd,Oklahoma City,OK,73119,US,14056824104.0,"{ ""Mon"": [[""8:00"", ""22:00""]], ""Tue"": [[""8:00"", ""22:00""]], ""Wed"": [[""8:00"", ""22:00""]], ""Thu"": [[""8:00"", ""22:00""]], ""Fri"": [[""8:00"", ""22:00""]], ""Sat"": [[""8:00"", ""22:00""]], ""Sun"": [[""8:00"", ""22:00""]] }",
177724,sg:73596a53cecb4c848c132fdfbfd94a9d,,Picasso Cafe,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,35.499935,-97.52344699999999,3009 Paseo,Oklahoma City,OK,73103,US,,,"Sandwich Shop,Pizza,American Food"
177799,sg:79103b7778bd48538868620364a04e4d,,Pizza Hut,SG_BRAND_1f2a4b730dc533366115ba7f5168b074,Pizza Hut,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,35.402590000000004,-97.529735,6324 S Western Ave,Oklahoma City,OK,73139,US,14056311434.0,,"Counter Service,Pizza,Lunch,Take Out and Delivery Only,Catering,Dinner"
177976,sg:872211dc84944841b3855b229738c956,,Treece Wrecker Service,,,Support Activities for Road Transportation,Motor Vehicle Towing,488410.0,35.557733,-97.62423100000001,8512 Arlington Dr,Oklahoma City,OK,73132,US,14057200909.0,,
179138,sg:e24a3db708a34871b0d3ef55ea59f382,,Soccer Store,,,Clothing Stores,Family Clothing Stores,448140.0,35.437115999999996,-97.53039100000001,2801 S Western Ave,Oklahoma City,OK,73109,US,14056130304.0,,
179589,sg:068c01e3579b4bc1b7c53a53eff6dfea,,Macarthur Shops,,,Lessors of Real Estate,Malls,531120.0,35.566041999999996,-97.619691,5801 W Britton Rd,Oklahoma City,OK,73132,US,,,
